Date;RATE_Styrränta;Novotek_Open;OMX_Close 
2022-07-13 00:00:00;0,75;61,00;1,931.27
2022-07-14 00:00:00;0,75;62,60;1,903.51
2022-07-15 00:00:00;0,75;60,90;1,903.82
2022-07-18 00:00:00;0,75;61,00;1,930.50
2022-07-19 00:00:00;0,75;61,30;1,961.12
2022-07-20 00:00:00;0,75;63,60;1,961.31
2022-07-21 00:00:00;0,75;63,50;1,975.97
2022-07-22 00:00:00;0,75;61,10;1,979.70
2022-07-25 00:00:00;0,75;62,10;1,970.89
2022-07-26 00:00:00;0,75;62,40;1,962.97
2022-07-27 00:00:00;0,75;62,80;1,971.38
2022-07-28 00:00:00;0,75;61,10;1,996.02
2022-07-29 00:00:00;0,75;62,00;2,032.53
2022-08-01 00:00:00;0,75;60,80;2,011.11
2022-08-02 00:00:00;0,75;62,10;1,993.92
2022-08-03 00:00:00;0,75;60,80;2,005.58
2022-08-04 00:00:00;0,75;62,90;2,020.83
2022-08-05 00:00:00;0,75;62,40;1,998.57
2022-08-08 00:00:00;0,75;62,20;2,017.15
2022-08-09 00:00:00;0,75;61,20;1,987.68
2022-08-10 00:00:00;0,75;59,60;2,025.48
2022-08-11 00:00:00;0,75;61,60;2,024.48
2022-08-12 00:00:00;0,75;60,20;2,032.51
2022-08-15 00:00:00;0,75;62,00;2,036.67
2022-08-16 00:00:00;0,75;61,40;2,058.94
2022-08-17 00:00:00;0,75;60,30;2,034.76
